YEAR_WEEK,COUNT(*),WEEK_NUMBER
202053,488,1
202101,8247,2
202102,8045,3
202103,7192,4
202104,10896,5
202105,11332,6
202106,7599,7
202107,9483,8
202108,10978,9
202109,10397,10
202110,7833,11
202111,8274,12
202112,6881,13
202113,10439,14
202114,8200,15
202115,7659,16
202116,9438,17
202117,10061,18
202118,8982,19
202119,8342,20
202120,9687,21
202121,8365,22
202122,7366,23
202123,7610,24
202124,8062,25
202125,8718,26
202126,7436,27
202127,6754,28
202128,8163,29
202129,8456,30
202130,8471,31
202131,7984,32
202132,6965,33
202133,7455,34
202134,8071,35
202135,9314,36
202136,9298,37
202137,7763,38
202138,7918,39
202139,8780,40
202140,7797,41
202141,7555,42
202142,9243,43
202143,8763,44
202144,11215,45
202145,12162,46
202146,13341,47
202147,19272,48
202148,17250,49
202149,11561,50
202150,11798,51
202151,8325,52
202152,9028,53
202201,12042,54
202202,8256,55
202203,9666,56
202204,10402,57
202205,9938,58
202206,7778,59
202207,8135,60
202208,7544,61
202209,7636,62
202210,8755,63
202211,8399,64
202212,8255,65
202213,12358,66
202214,9159,67
202215,8778,68
202216,11390,69
202217,9472,70
202218,9852,71
202219,10041,72
202220,9436,73
202221,10566,74
202222,11094,75
202223,10360,76
202224,9536,77
202225,9912,78
202226,9592,79
202227,8616,80
202228,11013,81
202229,15730,82
202230,14072,83
202231,13660,84
202232,13980,85
202233,15923,86
202234,16775,87
202235,13532,88
202236,10879,89
202237,11896,90
202238,11722,91
202239,11378,92
202240,11207,93
202241,11807,94
202242,12500,95
202243,12222,96
202244,12401,97
202245,17798,98
202246,21321,99
202247,24517,100
202248,26258,101
202249,20217,102
202250,15991,103
202251,12308,104
202252,14454,105
202301,17433,106
202302,15570,107
202303,16218,108
202304,18751,109
202305,19301,110
202306,16328,111
202307,13971,112
202308,15345,113
202309,19043,114
202310,16686,115
202311,17050,116
202312,16042,117
202313,17315,118
202314,20244,119
202315,15352,120
202316,16080,121
202317,18121,122
202318,18447,123
202319,16394,124
202320,16024,125
202321,18860,126
202322,17584,127
202323,17538,128
202324,16106,129
202325,16601,130
202326,16917,131
202327,15905,132
202328,16084,133
202329,15123,134
202330,15856,135
202331,17069,136
202332,16599,137
202333,16232,138
202334,16552,139
202335,19919,140
202336,19223,141
202337,19495,142
202338,20304,143
202339,23176,144
202340,21188,145
202341,22418,146
202342,25557,147
202343,20108,148
202344,20178,149
202345,20663,150
202346,23504,151
202347,31974,152
202348,29389,153
202349,19536,154
202350,19386,155
202351,16625,156
202352,16972,157
202401,18674,158
202402,18449,159
202403,20677,160
202404,19417,161
202405,21124,162
