LABEL_PRINT_YEAR_WEEK_UTC,COUNT(*)
2024-W06,1401
2024-W05,8391
2024-W04,8964
2024-W03,8722
2024-W02,8357
2024-W01,8862
2023-W52,8355
2023-W51,7367
2023-W50,10221
2023-W49,11785
2023-W48,16130
2023-W47,12101
2023-W46,11045
2023-W45,9272
2023-W44,8365
2023-W43,8130
2023-W42,6589
2023-W41,5319
2023-W40,5302
2023-W39,6652
2023-W38,5910
2023-W37,5411
2023-W36,5749
2023-W35,6159
2023-W34,6179
2023-W33,5472
2023-W32,6270
2023-W31,6074
2023-W30,5646
2023-W29,5942
2023-W28,6116
2023-W27,5838
2023-W26,5781
2023-W25,5404
2023-W24,6116
2023-W23,6593
2023-W22,5166
2023-W21,6630
2023-W20,5621
2023-W19,6016
2023-W18,5204
2023-W17,4650
2023-W16,4564
2023-W15,4999
2023-W14,4725
2023-W13,4958
2023-W12,4749
2023-W11,4209
2023-W10,3750
2023-W09,4065
2023-W08,4256
2023-W07,4591
2023-W06,3956
2023-W05,5176
2023-W04,5040
2023-W03,4673
2023-W02,5796
2023-W01,5223
2022-W52,5827
2022-W51,4828
2022-W50,7006
2022-W49,8586
2022-W48,9633
2022-W47,7111
2022-W46,6547
2022-W45,4414
2022-W44,4260
2022-W43,3335
2022-W42,3504
2022-W41,2780
2022-W40,2693
2022-W39,2636
2022-W38,2842
2022-W37,2535
2022-W36,3042
2022-W35,3815
2022-W34,2640
2022-W33,2474
2022-W32,2664
2022-W31,2914
2022-W30,2437
2022-W29,2641
2022-W28,2816
2022-W27,2985
2022-W26,2731
2022-W25,3517
2022-W24,2346
2022-W23,2270
2022-W22,3209
2022-W21,2381
2022-W20,2111
2022-W19,2069
2022-W18,2139
2022-W17,2029
2022-W16,2051
2022-W15,1824
2022-W14,2178
2022-W13,2474
2022-W12,2307
2022-W11,2029
2022-W10,2087
2022-W09,1996
2022-W08,1842
2022-W07,2316
2022-W06,3015
2022-W05,2931
2022-W04,2902
2022-W03,2734
2022-W02,3150
2022-W01,2240
2021-W52,2387
2021-W51,1634
2021-W50,2527
2021-W49,3086
2021-W48,4219
2021-W47,3994
2021-W46,2890
2021-W45,2364
2021-W44,2414
2021-W43,2557
2021-W42,2027
2021-W41,2131
2021-W40,2028
2021-W39,2044
2021-W38,2044
2021-W37,1969
2021-W36,2148
2021-W35,2071
2021-W34,1880
2021-W33,1999
2021-W32,1784
2021-W31,1803
2021-W30,1513
2021-W29,1996
2021-W28,1410
2021-W27,1545
2021-W26,1471
2021-W25,1541
2021-W24,1591
2021-W23,1955
2021-W22,1371
2021-W21,1110
2021-W20,1090
2021-W19,1015
2021-W18,1216
2021-W17,1171
2021-W16,1049
2021-W15,1140
2021-W14,1000
2021-W13,1069
2021-W12,993
2021-W11,1036
2021-W10,923
2021-W09,1049
2021-W08,1684
2021-W07,1059
2021-W06,879
2021-W05,946
2021-W04,981
2021-W03,923
2021-W02,918
2021-W01,1049
2020-W53,1061
2020-W52,16
