YEAR_WEEK,COUNT(*),WEEK_NUMBER
202101,1049,2
202102,918,3
202103,923,4
202104,981,5
202105,946,6
202106,879,7
202107,1059,8
202108,1684,9
202109,1049,10
202110,923,11
202111,1036,12
202112,993,13
202113,1069,14
202114,1000,15
202115,1140,16
202116,1049,17
202117,1171,18
202118,1216,19
202119,1015,20
202120,1090,21
202121,1110,22
202122,1371,23
202123,1955,24
202124,1591,25
202125,1541,26
202126,1471,27
202127,1545,28
202128,1410,29
202129,1996,30
202130,1513,31
202131,1803,32
202132,1784,33
202133,1999,34
202134,1880,35
202135,2071,36
202136,2148,37
202137,1969,38
202138,2044,39
202139,2044,40
202140,2028,41
202141,2131,42
202142,2027,43
202143,2557,44
202144,2414,45
202145,2364,46
202146,2890,47
202147,3994,48
202148,4219,49
202149,3086,50
202150,2527,51
202151,1634,52
202152,2387,53
202201,2240,54
202202,3150,55
202203,2734,56
202204,2902,57
202205,2931,58
202206,3015,59
202207,2316,60
202208,1842,61
202209,1996,62
202210,2087,63
202211,2029,64
202212,2307,65
202213,2474,66
202214,2178,67
202215,1824,68
202216,2051,69
202217,2029,70
202218,2139,71
202219,2069,72
202220,2111,73
202221,2381,74
202222,3209,75
202223,2270,76
202224,2346,77
202225,3517,78
202226,2731,79
202227,2985,80
202228,2816,81
202229,2641,82
202230,2437,83
202231,2914,84
202232,2664,85
202233,2474,86
202234,2640,87
202235,3815,88
202236,3042,89
202237,2535,90
202238,2842,91
202239,2636,92
202240,2693,93
202241,2780,94
202242,3504,95
202243,3335,96
202244,4260,97
202245,4414,98
202246,6547,99
202247,7111,100
202248,9633,101
202249,8586,102
202250,7006,103
202251,4828,104
202252,5827,105
202301,5223,106
202302,5796,107
202303,4673,108
202304,5040,109
202305,5176,110
202306,3956,111
202307,4591,112
202308,4256,113
202309,4065,114
202310,3750,115
202311,4209,116
202312,4749,117
202313,4958,118
202314,4725,119
202315,4999,120
202316,4564,121
202317,4650,122
202318,5204,123
202319,6016,124
202320,5621,125
202321,6630,126
202322,5166,127
202323,6593,128
202324,6116,129
202325,5404,130
202326,5781,131
202327,5838,132
202328,6116,133
202329,5942,134
202330,5646,135
202331,6074,136
202332,6270,137
202333,5472,138
202334,6179,139
202335,6159,140
202336,5749,141
202337,5411,142
202338,5910,143
202339,6652,144
202340,5302,145
202341,5319,146
202342,6589,147
202343,8130,148
202344,8365,149
202345,9272,150
202346,11045,151
202347,12101,152
202348,16130,153
202349,11785,154
202350,10224,155
202351,7367,156
202352,8356,157
202401,8878,158
202402,8358,159
202403,8739,160
202404,9013,161
202405,8488,162
