LABEL_PRINT_YEAR_WEEK_UTC,COUNT(*)
2024-W06,2315
2024-W05,13349
2024-W04,18060
2024-W03,15635
2024-W02,17189
2024-W01,17902
2023-W52,16297
2023-W51,18637
2023-W50,22699
2023-W49,26114
2023-W48,28465
2023-W47,34317
2023-W46,21748
2023-W45,21143
2023-W44,25248
2023-W43,21987
2023-W42,20066
2023-W41,19899
2023-W40,33311
2023-W39,27866
2023-W38,18525
2023-W37,21288
2023-W36,18929
2023-W35,20840
2023-W34,19155
2023-W33,17669
2023-W32,18835
2023-W31,20024
2023-W30,19138
2023-W29,18938
2023-W28,20853
2023-W27,21233
2023-W26,19221
2023-W25,20792
2023-W24,21408
2023-W23,21811
2023-W22,20442
2023-W21,20039
2023-W20,22560
2023-W19,18916
2023-W18,19271
2023-W17,21936
2023-W16,18816
2023-W15,19597
2023-W14,21881
2023-W13,26481
2023-W12,25765
2023-W11,25918
2023-W10,23390
2023-W09,21930
2023-W08,18118
2023-W07,17161
2023-W06,16574
2023-W05,16950
2023-W04,18064
2023-W03,17222
2023-W02,18766
2023-W01,18296
2022-W52,16325
2022-W51,14035
2022-W50,17142
2022-W49,20985
2022-W48,29567
2022-W47,32506
2022-W46,22677
2022-W45,21243
2022-W44,18330
2022-W43,18631
2022-W42,17727
2022-W41,15628
2022-W40,17790
2022-W39,19825
2022-W38,19320
2022-W37,16093
2022-W36,16500
2022-W35,17165
2022-W34,17955
2022-W33,16190
2022-W32,17514
2022-W31,17488
2022-W30,21039
2022-W29,22192
2022-W28,18875
2022-W27,19969
2022-W26,19954
2022-W25,17838
2022-W24,18061
2022-W23,22332
2022-W22,19431
2022-W21,17068
2022-W20,17386
2022-W19,14916
2022-W18,17843
2022-W17,16965
2022-W16,13328
2022-W15,12428
2022-W14,15130
2022-W13,13830
2022-W12,17347
2022-W11,13279
2022-W10,12256
2022-W09,15101
2022-W08,14948
2022-W07,16416
2022-W06,18196
2022-W05,14835
2022-W04,14179
2022-W03,14956
2022-W02,15857
2022-W01,15857
2021-W52,15932
2021-W51,11596
2021-W50,20920
2021-W49,26479
2021-W48,32438
2021-W47,28481
2021-W46,19401
2021-W45,18205
2021-W44,15142
2021-W43,13020
2021-W42,12972
2021-W41,12551
2021-W40,11725
2021-W39,14239
2021-W38,14003
2021-W37,12581
2021-W36,13757
2021-W35,14251
2021-W34,11329
2021-W33,12704
2021-W32,13481
2021-W31,11964
2021-W30,12246
2021-W29,13072
2021-W28,10474
2021-W27,10383
2021-W26,13264
2021-W25,14992
2021-W24,11783
2021-W23,15499
2021-W22,16511
2021-W21,16852
2021-W20,15819
2021-W19,12666
2021-W18,14758
2021-W17,13701
2021-W16,15547
2021-W15,14464
2021-W14,16772
2021-W13,14412
2021-W12,10169
2021-W11,13812
2021-W10,12203
2021-W09,13967
2021-W08,10742
2021-W07,13218
2021-W06,11152
2021-W05,10911
2021-W04,11824
2021-W03,13840
2021-W02,12218
2021-W01,15266
2020-W53,12511
2020-W52,29
2020-W25,22
2020-W24,55
2020-W23,27
2020-W22,63
2020-W17,22
2020-W16,23
2020-W15,32
2020-W14,23
2020-W13,36
2020-W12,26
2020-W11,22
2020-W10,45
2020-W09,34
2020-W08,28
2020-W07,71
2020-W06,15
2020-W05,14
2019-W51,13
2019-W50,19
2019-W49,25
2019-W48,24
2019-W47,27
2019-W46,20
2019-W45,25
2019-W44,20
2019-W43,17
2019-W42,20
2019-W41,21
2019-W40,33
2019-W39,36
2019-W38,28
2019-W37,23
2019-W36,34
2019-W35,39
2019-W34,38
2019-W32,53
2019-W30,23
2019-W29,23
2019-W28,30
2019-W27,29
2019-W26,17
2019-W25,27
2019-W24,54
2019-W23,78
2019-W21,24
2019-W20,7
2019-W19,49
2019-W18,121
2019-W17,86
2019-W16,3
