YEAR_WEEK,COUNT(*),WEEK_NUMBER
202101,15266,2
202102,12218,3
202103,13840,4
202104,11824,5
202105,10911,6
202106,11152,7
202107,13218,8
202108,10742,9
202109,13967,10
202110,12203,11
202111,13812,12
202112,10169,13
202113,14412,14
202114,16772,15
202115,14464,16
202116,15547,17
202117,13701,18
202118,14758,19
202119,12666,20
202120,15819,21
202121,16852,22
202122,16511,23
202123,15499,24
202124,11783,25
202125,14992,26
202126,13264,27
202127,10383,28
202128,10474,29
202129,13072,30
202130,12246,31
202131,11964,32
202132,13481,33
202133,12704,34
202134,11329,35
202135,14251,36
202136,13757,37
202137,12581,38
202138,14003,39
202139,14239,40
202140,11725,41
202141,12551,42
202142,12972,43
202143,13020,44
202144,15142,45
202145,18205,46
202146,19401,47
202147,28481,48
202148,32438,49
202149,26479,50
202150,20920,51
202151,11596,52
202152,15932,53
202201,15857,54
202202,15857,55
202203,14956,56
202204,14179,57
202205,14835,58
202206,18196,59
202207,16416,60
202208,14948,61
202209,15101,62
202210,12256,63
202211,13279,64
202212,17347,65
202213,13830,66
202214,15130,67
202215,12428,68
202216,13328,69
202217,16965,70
202218,17843,71
202219,14916,72
202220,17386,73
202221,17068,74
202222,19431,75
202223,22332,76
202224,18061,77
202225,17838,78
202226,19954,79
202227,19969,80
202228,18875,81
202229,22192,82
202230,21039,83
202231,17488,84
202232,17514,85
202233,16190,86
202234,17955,87
202235,17165,88
202236,16500,89
202237,16093,90
202238,19320,91
202239,19825,92
202240,17790,93
202241,15628,94
202242,17727,95
202243,18631,96
202244,18330,97
202245,21243,98
202246,22677,99
202247,32506,100
202248,29567,101
202249,20985,102
202250,17142,103
202251,14035,104
202252,16325,105
202301,18296,106
202302,18766,107
202303,17222,108
202304,18064,109
202305,16950,110
202306,16574,111
202307,17161,112
202308,18118,113
202309,21930,114
202310,23390,115
202311,25918,116
202312,25765,117
202313,26481,118
202314,21881,119
202315,19597,120
202316,18816,121
202317,21936,122
202318,19271,123
202319,18916,124
202320,22560,125
202321,20039,126
202322,20442,127
202323,21811,128
202324,21408,129
202325,20792,130
202326,19221,131
202327,21233,132
202328,20853,133
202329,18938,134
202330,19138,135
202331,20024,136
202332,18835,137
202333,17669,138
202334,19155,139
202335,20840,140
202336,18929,141
202337,21288,142
202338,18525,143
202339,27866,144
202340,33311,145
202341,19899,146
202342,20066,147
202343,21987,148
202344,25248,149
202345,21143,150
202346,21762,151
202347,34317,152
202348,28465,153
202349,26114,154
202350,22701,155
202351,18637,156
202352,16297,157
202401,17902,158
202402,17190,159
202403,15636,160
202404,18082,161
202405,14400,162
